22.4	24.9	1.267
21.7	23.5	1.266
18.8	20.5	1.236
17.7	20.5	1.163
22.8	23.5	1.19
22.2	24.9	1.262
23.4	24.5	1.239
21.8	24.6	1.263
19.4	21.8	1.831
21.9	24.1	2.451
25.4	24.7	1.603
23.8	24.8	1.792
20.5	24.2	1.474
18	20.2	1.338
20.8	22.1	1.322
15.4	16.5	1.25
18.6	15.4	1.566
19.4	19.7	2.306
20.4	21.3	2.545
21.4	22.6	2.176
22.4	23.4	1.584
23.3	24.1	1.053
23.1	23.7	1.008
21.8	22.8	0.885
21	22	0.699
23	24.2	0.507
24.5	24.6	0.557
22.5	22.3	0.597
20.2	21.1	0.693
20.4	21	0.778
19.1	19.6	1.082
17.5	18.5	1.253
20.9	20.2	1.237
21.4	24.1	1.173
24.2	26.3	0.99
26.1	27.2	0.881
24.5	25.5	0.688
25.1	26.5	0.556
25.8	24.1	0.471
22.2	24	0.394
24.5	25.9	0.395
25	26.8	0.441
27.2	28	0.465
26.3	24.5	0.506
22.6	23.2	0.4
22.4	23.8	0.423
22	23.5	0.388
20	20.9	0.39
17.5	17.4	0.325
14.7	15.2	0.307
14.1	15.9	0.292
14.7	16.2	0.364
16.2	17.4	0.359
16.8	17.8	0.502
16.9	18.1	1.716
17.8	17.2	3.89
16.7	17.3	3.656
14.9	15.4	2.669
13.6	14.9	1.389
14.2	14.2	1.2
14.9	16	0.913
14.8	16.2	0.832
20	18.9	0.697
22.7	22.3	0.66
20.3	21.3	0.696
21	19.3	0.691
18.1	17.4	0.69
16.7	15.9	0.71
14.3	15.3	0.667
14.3	15.6	0.692
16.2	15.3	0.601
15	16.2	0.537
14.6	15.4	0.628
14.7	14.3	0.757
14.3	14.8	0.868
10.5	10.8	0.993
11.7	12.1	1.654
12.2	12.3	3.013
14.4	15.4	3.23
19	19.4	2.68
17.7	19.1	2.28
20.1	20.8	1.83
15.6	15.7	1.41
16.2	16.5	1.34
21.4	21	1.176
13.3	13.4	1.092
12.7	11.9	1.011
16.2	15	0.984
17.7	16.4	0.953
18.7	16.9	0.869
18.6	16.6	0.569
19.4	19	0.546
20.9	21.1	0.562
19.8	19.3	0.67
19.7	19.1	0.766
17.1	16.2	0.589
16.9	17.2	0.52
14	13.3	0.459
16.8	14.3	0.358
17.3	16.7	0.345
17.5	16.6	0.438
19.1	17.5	0.416
19.2	18.3	0.394
19	16.8	0.374
15.7	15.3	0.315
15	15	0.264
15.6	13.3	0.272
16.9	15	0.261
14	13.1	0.334
14.2	15.7	0.391
15	15.5	0.633
11.3	12.6	0.929
10.4	11.3	1.091
11	11.3	1.198
11.3	12.1	1.351
9.8	9.2	1.306
12.2	10.7	1.207
13.4	11.7	2.548
15.5	14	3.6
12.7	10.3	3.561
12.6	12.2	3.448
11.9	12.2	3.399
7.7	7.7	3.099
8.8	7.4	2.05
7.5	5.9	1.3
8.3	5.9	0.872
10	10.8	0.72
9.4	7.7	0.507
11.2	9.4	0.191
13.7	13	0.176
14.5	15.1	0.155
13.4	13.6	0.169
11.7	10	0.264
14.3	12.9	0.304
14.2	14.8	0.339
10.1	11.4	0.353
10.5	11.8	0.408
4.3	5.5	0.458
6.9	8	0.435
4.3	5.3	0.842
-1.3	-0.1	1.047
-2.6	-1	1.246
1.3	3	1.522
7.3	8.3	1.451
8.7	9.6	1.522
5.4	4.9	3.304
6.6	6.5	4.845
6.9	7.6	3.783
4.5	4.4	2.765
4.1	5.4	2.361
4.6	5.5	2.501
5.5	6.3	2.543
9.8	10.8	2.194
10.5	9.6	2.807
10.6	9.9	4.85
9	9.4	5.459
8.7	8.4	4.454
9.1	8.8	2.813
5	5.3	1.953
5.2	5.1	1.96
5.7	6	1.91
4.8	6.6	1.46
7.9	8.6	0.981
9	9.5	1.167
9.9	10.1	1.257
9.3	10	1.32
8.7	9.2	1.33
7	7.9	1.32
7	7.9	1.231
5.6	5.6	1.227
4.1	4.7	1.165
3.8	3.8	1.121
5.8	6.9	1.125
8.1	9.4	1.132
8	8.5	1.216
7	6.7	1.316
7.3	7.3	1.341
6.9	5.7	1.349
4.1	4.7	1.372
1.4	1	1.46
2.8	4.2	2.081
3.4	4.8	2.501
5.6	3.1	2.635
2.4	1	4.333
1.4	1	4.265
2.2	2.7	3.406
0.6	1.7	2.802
-0.3	-0.6	2.523
1.9	2.8	2.348
2.6	1.3	1.872
0.7	1.6	1.499
1.8	3	1.669
-0.3	0.8	1.729
0.9	2.4	1.699
0.2	-0.2	1.769
-5.3	-3.4	1.689
-3.4	-2.4	1.649
0.3	0.9	1.609
-0.6	-0.3	1.609
4	5.6	1.599
5.4	7.1	1.609
1.2	2.5	1.841
2.5	3.4	3.189
3.7	4.9	5.04
5.3	6.4	5.392
6.8	8.1	5.53
5.9	7.1	6.428
4.6	5.2	8.468
9	10.4	12.108
10.2	11.2	11.325
6.7	7.7	9.822
6.1	7.2	8.559
9.7	10.7	7.472
5.6	5.5	6.982
1	1.8	6.763
0.8	0.2	5.942
3.8	3.9	4.571
11.7	13.1	4.602
6.6	7.9	4.366
8.5	10.5	7.374
5.2	6.2	15.206
1.5	1.6	14.537
-2.4	-1.6	12.437
-3.3	-2.2	8.016
-4.8	-7.8	8.034
-7	-6.3	7.276
